rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,ra,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,hd_name,hip_name,pl_name,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_rads,pl_radserr1,pl_radserr2,pl_radslim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_disc,pl_status,pl_mnum,pl_st_npar,pl_st_nref,pl_pelink,pl_edelink,rowupdate,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,st_plxerr1,st_plxerr2,st_plxlim,st_plxblend,st_pmra,st_pmraerr,st_pmralim,st_pmdec,st_pmdecerr,st_pmdeclim,st_pm,st_pmerr,st_pmlim,st_pmblend,st_radv,st_radverr1,st_radverr2,st_radvlim,st_radvblend,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggblend,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumblend,st_dens,st_denserr1,st_denserr2,st_denslim,st_metfe,st_metfeerr1,st_metfeerr2,st_metfelim,st_metfeblend,st_age,st_ageerr1,st_ageerr2,st_agelim,st_metratio,st_vsini,st_vsinierr1,st_vsinierr2,st_vsinilim,st_vsiniblend,st_acts,st_actserr,st_actslim,st_actsblend,st_actr,st_actrerr,st_actrlim,st_actrblend,st_actlx,st_actlxerr,st_actlxlim,st_actlxblend,swasp_id,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_uj,st_ujerr,st_ujlim,st_ujblend,st_bj,st_bjerr,st_bjlim,st_bjblend,st_rc,st_rcerr,st_rclim,st_rcblend,st_ic,st_icerr,st_iclim,st_icblend,st_j,st_jerr,st_jlim,st_jblend,st_h,st_herr,st_hlim,st_hblend,st_k,st_kerr,st_klim,st_kblend,st_wise1,st_wise1err,st_wise1lim,st_wise1blend,st_wise2,st_wise2err,st_wise2lim,st_wise2blend,st_wise3,st_wise3err,st_wise3lim,st_wise3blend,st_wise4,st_wise4err,st_wise4lim,st_wise4blend,st_irac1,st_irac1err,st_irac1lim,st_irac1blend,st_irac2,st_irac2err,st_irac2lim,st_irac2blend,st_irac3,st_irac3err,st_irac3lim,st_irac3blend,st_irac4,st_irac4err,st_irac4lim,st_irac4blend,st_mips1,st_mips1err,st_mips1lim,st_mips1blend,st_mips2,st_mips2err,st_mips2lim,st_mips2blend,st_mips3,st_mips3err,st_mips3lim,st_mips3blend,st_iras1,st_iras1err,st_iras1lim,st_iras1blend,st_iras2,st_iras2err,st_iras2lim,st_iras2blend,st_iras3,st_iras3err,st_iras3lim,st_iras3blend,st_iras4,st_iras4err,st_iras4lim,st_iras4blend,st_photn,st_umbj,st_umbjerr,st_umbjlim,st_umbjblend,st_bmvj,st_bmvjerr,st_bmvjlim,st_bmvjblend,st_vjmic,st_vjmicerr,st_vjmiclim,st_vjmicblend,st_vjmrc,st_vjmrcerr,st_vjmrclim,st_vjmrcblend,st_jmh2,st_jmh2err,st_jmh2lim,st_jmh2blend,st_hmk2,st_hmk2err,st_hmk2lim,st_hmk2blend,st_jmk2,st_jmk2err,st_jmk2lim,st_jmk2blend,st_bmy,st_bmyerr,st_bmylim,st_bmyblend,st_m1,st_m1err,st_m1lim,st_m1blend,st_c1,st_c1err,st_c1lim,st_c1blend,st_colorn
213,HD 106252,b,Radial Velocity,1,1531,4.7,-4.7,0,2.611,0.026,-0.026,0,0.482,0.011,-0.011,0,,,,,6.92,0.16,-0.16,0,,,,,,,,,,,,,0,0,183.372955,10.041638,37.44,1.23,-1.32,0,7.408,0.011,0,0,,,,,,,,,,,,,,,,HD 106252,HIP 59610,HD 106252 b,0,1,0,0,0,0,2453397.5,4.7,-4.7,0,292.8,1.8,-1.8,0,138.8,2,-2,0,,,,,,,,,,,,,2199.29,50.85,-50.85,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,3,0,32,23,http://exoplanet.eu/catalog/hd_106252_b/,http://exoplanets.org/detail/HD_106252_b,3/4/13,12.22486369,273.502761,70.713178,179.055548,10.545743,26.71,0.91,-0.91,0,0,24.2,1.1,0,-280.3,1.1,0,281.3,1.6,0,0,15.4,0.5,-0.5,0,0,4,G0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.9,0.5,-0.5,0,0,0.163,0.021,0,0,-4.97,,0,0,,,,,,6,0,1,5,0,3,1,,,,,8.024,0.017,0,0,,,,,,,,,6.302,0.024,0,0,6.016,0.047,0,0,5.929,0.026,0,0,5.925,0.121,0,0,5.832,0.041,0,0,5.972,0.014,0,0,5.864,0.049,0,0,5.923,0.008,0,0,5.954,0.013,0,0,,,,,5.936,0.007,0,0,5.93E+00,1.00E-02,0,0,4.18E+00,7.03E-01,0,0,,,,,,,,,,,,,,,,,,,,,17,,,,,0.616,0.02,0,0,,,,,,,,,0.286,0.053,0,0,0.087,0.054,0,0,0.373,0.035,0,0,0.392,0.003,0,0,0.179,0.004,0,0,0.348,0.005,0,0,8
214,HD 106270,b,Radial Velocity,1,2890,390,-390,0,4.3,0.4,-0.4,0,0.402,0.054,-0.054,0,,,,,11,0.8,-0.8,0,,,,,,,,,,,,,0,0,183.40535,-9.513381,87.87,7.23,-8.65,0,7.577,0.011,0,0,,,,,,,,,,,,,,,,HD 106270,HIP 59625,HD 106270 b,0,1,0,0,0,0,2454830,390,-390,0,15.2,4,-4,0,142.1,6.9,-6.9,0,,,,,,,,,,,,,3496,254.3,-254.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,3,0,7,14,http://exoplanet.eu/catalog/hd_106270_b/,http://exoplanets.org/detail/HD_106270_b,3/4/13,12.22702332,287.595668,52.228706,186.920307,-7.373487,11.38,1.02,-1.02,0,0,-99.4,1,0,-42.1,1,0,107.9,1.4,0,0,23.7,0.2,-0.2,0,0,4.5,G5 IV,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4,,,0,0,,,,,,,,,,,,,,1,0,1,0,0,3,1,,,,,8.32,0.016,0,0,,,,,,,,,6.249,0.025,0,0,5.964,0.04,0,0,5.862,0.024,0,0,5.814,0.146,0,0,5.772,0.047,0,0,5.853,0.016,0,0,5.774,0.055,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,0.743,0.019,0,0,,,,,,,,,0.285,0.047,0,0,0.102,0.047,0,0,0.387,0.035,0,0,0.458,0.003,0,0,0.24,0.004,0,0,0.376,0.006,0,0,8
215,HD 10647,b,Radial Velocity,1,989.2,8.1,-8.1,0,2.015,0.011,-0.011,0,0.15,0.08,-0.08,0,,,,,0.94,0.08,-0.08,0,,,,,,,,,,,,,0,0,25.622149,-53.740833,17.35,0.19,-0.19,0,5.52,,0,0,6218,20,-20,0,0,1.11,0.02,-0.02,0,0,1.1,0.02,-0.02,0,0,HD 10647,HIP 7978,HD 10647 b,0,1,0,0,0,0,2453654,99,-99,0,212,39,-39,0,18.1,1.7,-1.7,0,,,,,,,,,,,,,298.75,25.43,-25.43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,3,0,42,25,http://exoplanet.eu/catalog/hd_10647_b/,http://exoplanets.org/detail/HD_10647_b,1/29/13,1.70814323,286.897363,-61.769326,350.82917,-57.303788,57.63,0.64,-0.64,0,0,171.2,6.2,0,-104.5,5.8,0,200.6,8.5,0,0,27.68,0,0,0,0,3.9,F9 V,,0,0,4.62,0.04,-0.04,0,0,0.149,,,0,0,,,,,0,0.01,-0.01,0,0,1.4,0.9,-0.9,0,[Fe/H],4.9,,,0,0,,,,,,,,,,,,,,2,0,1,1,0,4,1,,,,,6.07,,0,0,,,,,,,,,4.791,0.226,0,0,4.399,0.234,0,0,4.34,0.276,0,0,4.171,0.377,0,1,3.913,0.222,0,0,4.22,0.014,0,0,3.954,0.021,0,0,,,,,,,,,,,,,,,,,3.96E+00,3.50E-02,0,0,-1.08E-01,1.09E-01,0,0,,,,,3.84E+00,7.60E-02,0,0,3.24E+00,1.42E-01,0,0,3.64E-01,1.42E-01,0,0,-9.96E-01,,1,0,22,,,,,0.55,,0,0,,,,,,,,,0.392,0.325,0,0,0.059,0.362,0,0,0.451,0.357,0,0,,,,,,,,,,,,,7
216,HD 106515 A,b,Radial Velocity,1,3630,12,-12,0,4.59,0.01,-0.01,0,0.572,0.011,-0.011,0,,,,,9.61,0.14,-0.14,0,,,,,,,,,,,,,0,0,183.777359,-7.257327,36.36,1.93,-2.16,0,7.971,0.014,0,0,5362,29,-29,0,0,0.97,0.01,-0.01,0,0,1.62,0.05,-0.05,0,0,HD 106515 A,HIP 59743 A,HD 106515 A b,0,1,0,0,0,0,2451803.8,8.3,-8.3,0,123.8,2.5,-2.5,0,158.2,2.6,-2.6,0,,,,,,,,,,,,,3054.22,44.49,-44.49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,3,0,16,16,http://exoplanet.eu/catalog/hd_106515a_b/,,1/29/13,12.25182393,287.285812,54.507094,186.353178,-5.158211,27.5,1.54,-1.54,0,0,-250.1,1.2,0,-52.9,1.2,0,255.6,1.7,0,0,20.81,0,0,0,0,4.5,G5,,0,0,4.41,0.04,-0.04,0,0,0.09,,,0,0,,,,,0.03,0.02,-0.02,0,0,11.7,0.2,-0.2,0,[Fe/H],1,,,1,0,,,,,,,,,,,,,,1,0,1,0,0,3,0,,,,,8.793,0.021,0,0,,,,,,,,,6.585,0.024,0,1,6.218,0.045,0,1,6.151,0.026,0,1,6.321,0.317,0,1,6.088,0.069,0,1,6.208,0.02,0,0,6.092,0.072,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,0.822,0.025,0,0,,,,,,,,,0.367,0.051,0,1,0.067,0.052,0,1,0.434,0.035,0,1,,,,,,,,,,,,,5
217,HD 106906,b,Imaging,1,,,,,650,,,0,,,,,11,2,-2,0,,,,,,,,,,,,,,,,,0,0,184.471634,-55.975525,91.83,7.01,-8.27,0,7.797,0.011,0,0,6516,165,-165,0,0,1.5,0.1,-0.1,0,0,,,,,,HD 106906,HIP 59960,HD 106906 b,0,0,1,0,0,0,,,,,,,,,,,,,1800,100,-100,0,,,,,3496,636,-636,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,3,0,6,14,http://exoplanet.eu/catalog/hd_106906_b/,,12/9/13,12.29810893,298.218878,6.588967,213.533835,-47.992283,10.89,0.9,-0.9,0,0,-41.6,1.5,0,-12.8,1.5,0,43.5,2.1,0,0,11.1,2,-2,0,0,3.5,F5 V,,0,0,,,,,,0.75,0.06,-0.06,0,0,,,,,,,,,,0.013,0.002,-0.002,0,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,3,0,,,,,8.237,0.015,0,0,,,,,,,,,6.946,0.03,0,0,6.759,0.038,0,0,6.683,0.026,0,0,6.69,0.066,0,0,6.658,0.022,0,0,6.605,0.016,0,0,4.674,0.031,0,0,,,,,,,,,,,,,,,,,4.56E+00,1.09E-01,0,0,1.07E+00,2.20E-01,0,0,,,,,5.14E+00,,1,0,3.58E+00,,1,0,6.35E-01,1.09E-01,0,0,-1.88E+00,4.99E-01,0,0,18,,,,,0.44,0.019,0,0,,,,,,,,,0.187,0.048,0,0,0.076,0.046,0,0,0.263,0.04,0,0,,,,,,,,,,,,,5
218,HD 10697,b,Radial Velocity,1,1075.2,1.5,-1.5,0,2.131,0.018,-0.018,0,0.099,0.007,-0.007,0,,,,,6.21,0.15,-0.15,0,,,,,,,,,,,,,0,0,26.232603,20.083149,32.56,0.84,-0.88,0,6.279,0.01,0,0,,,,,,,,,,,,,,,,HD 10697,HIP 8159,HD 10697 b,0,1,0,0,0,0,2451480,18,-18,0,111.2,6.3,-6.3,0,115.4,1.1,-1.1,0,,,,,,,,,,,,,1973.64,47.67,-47.67,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1999,3,0,28,30,http://exoplanet.eu/catalog/hd_10697_b/,http://exoplanets.org/detail/HD_10697_b,3/4/13,1.7488402,139.671366,-41.043341,31.5598,8.622007,30.71,0.81,-0.81,0,0,-44.2,0.8,0,-106.1,0.8,0,114.9,1.1,0,0,-46.6,0.1,-0.1,0,0,4.5,G5,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2.5,0.5,-0.5,0,0,0.149,0.019,0,0,-5.08,,0,0,28.54,,0,0,,5,0,1,4,0,3,2,,,,,6.985,0.016,0,0,,,,,,,,,5.386,0.268,0,0,4.678,0.031,0,0,4.601,0.021,0,0,4.581,0.239,0,0,4.382,0.122,0,0,4.638,0.014,0,0,4.578,0.026,0,0,,,,,,,,,,,,,,,,,4.64E+00,3.50E-02,0,0,7.23E+00,1.95E+00,0,0,,,,,4.02E+00,1.09E-01,0,0,3.44E+00,,1,0,1.18E+00,,1,0,-9.16E-01,,1,0,18,,,,,0.706,0.019,0,0,,,,,,,,,0.708,0.27,0,0,0.077,0.037,0,0,0.785,0.269,0,0,0.438,0.002,0,0,0.242,0.003,0,0,0.381,0.004,0,0,11
219,HD 107148,b,Radial Velocity,1,48.056,0.057,-0.057,0,0.269,0.016,-0.016,0,0.05,0.17,-0.17,0,,,,,0.21,0.036,-0.036,0,,,,,,,,,,,,,0,0,184.806213,-3.319789,51.26,2.5,-2.77,0,8.015,0.012,0,0,,,,,,,,,,,,,,,,HD 107148,HIP 60081,HD 107148 b,0,1,0,0,0,0,2439969,12,-12,0,75,,,0,10.9,2,-2,0,,,,,,,,,,,,,66.741,11.441,-11.441,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,3,0,15,19,http://exoplanet.eu/catalog/hd_107148_b/,http://exoplanets.org/detail/HD_107148_b,3/4/13,12.32041423,287.37183,58.575395,185.727513,-1.137862,19.51,1,-1,0,0,-54.8,1.3,0,-46.6,1.2,0,71.9,1.8,0,0,25.2,,,0,0,4.5,G5 V,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.5,-0.5,0,0,0.157,0.02,0,0,-5.03,,0,0,,,,,,2,0,1,1,0,3,1,,,,,8.718,0.017,0,0,,,,,,,,,6.858,0.023,0,0,6.604,0.045,0,0,6.474,0.027,0,0,6.475,0.077,0,0,6.437,0.023,0,0,6.498,0.015,0,0,6.418,0.064,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,0.703,0.021,0,0,,,,,,,,,0.254,0.051,0,0,0.13,0.052,0,0,0.384,0.035,0,0,0.42,0.003,0,0,0.251,0.004,0,0,0.384,0.006,0,0,11
220,HD 108147,b,Radial Velocity,1,10.8985,0.0045,-0.0045,0,0.102,0.0059,-0.0059,0,0.53,0.12,-0.12,0,,,,,0.261,0.04,-0.04,0,,,,,,,,,,,,,0,0,186.44278,-64.022087,38.56,1,-1.05,0,6.995,0.01,0,0,,,,,,,,,,,,,,,,HD 108147,HIP 60644,HD 108147 b,0,1,0,0,0,0,2450828.86,0.71,-0.71,0,308,24,-24,0,25.1,6.1,-6.1,0,,,,,,,,,,,,,82.95,12.713,-12.713,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,3,0,16,21,http://exoplanet.eu/catalog/hd_108147_b/,http://exoplanets.org/detail/HD_108147_b,3/4/13,12.42951864,300.125329,-1.290217,222.773672,-53.632589,25.93,0.69,-0.69,0,0,-181.6,0.65,0,-60.8,0.53,0,191.51,0.84,0,0,-5.4,0.2,-0.2,0,0,3.9,F8/G0 V,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,6.1,0.5,-0.5,0,0,0.188,,0,0,-4.78,,0,0,,,,,,3,0,1,2,0,3,0,,,,,7.532,0.015,0,0,,,,,,,,,6.007,0.029,0,0,5.832,0.027,0,0,5.721,0.016,0,0,5.765,0.088,0,0,5.638,0.024,0,1,5.746,0.015,0,0,5.704,0.043,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,0.538,0.018,0,0,,,,,,,,,0.175,0.04,0,0,0.111,0.031,0,0,0.286,0.033,0,0,0.346,0.003,0,0,0.171,0.004,0,0,0.384,0.005,0,0,8
221,HD 108341,b,Radial Velocity,1,1129,6,-8,0,2,0.04,-0.04,0,0.85,0.09,-0.08,0,,,,,3.5,3.4,-1.2,0,,,,,,,,,,,,,0,0,186.880798,-71.422974,49.4,,,0,9.36,,0,0,5122,79,-79,0,0,0.843,0.024,-0.024,0,0,0.79,0.03,-0.03,0,0,HD 108341,HIP 60788,HD 108341 b,0,1,0,0,0,0,2456633,33,-88,0,190,2,-5,0,144,311,-66,0,,,,,,,,,,,,,1112.4,1080.6,-381.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,3,0,12,12,,,1/8/15,12.45871989,301.00856,-8.640519,232.491865,-58.704075,20.23,0.93,-0.93,0,0,-119.7,1.5,0,114.6,1.5,0,165.7,2.1,0,0,56.7,3,-4,0,0,5.2,K2 V,,0,0,4.45,0.14,-0.14,0,0,,,,,0,,,,,0.04,0.06,-0.06,0,0,4.9,4.1,-4.1,0,[Fe/H],2,,,1,0,,,,,,,,,,,,,,1,0,1,0,0,3,0,,,,,10.29,,0,0,,,,,,,,,7.863,0.027,0,0,7.458,0.061,0,0,7.326,0.021,0,0,7.277,0.04,0,1,7.328,0.02,0,1,7.325,0.015,0,0,7.363,0.127,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,0.93,,0,0,,,,,,,,,0.405,0.067,0,0,0.132,0.065,0,0,0.537,0.034,0,0,0.513,0.002,0,0,0.417,0.003,0,0,0.32,0.005,0,0,9
222,HD 108863,b,Radial Velocity,1,443.4,4.2,-4.2,0,1.4,0.03,-0.03,0,0.06,,,0,,,,,2.6,0.2,-0.2,0,,,,,,,,,,,,,0,0,187.582962,21.948244,138.5,18.02,-24.36,0,7.739,0.012,0,0,,,,,,,,,,,,,,,,HD 108863,HIP 61020,HD 108863 b,0,1,0,0,0,0,2455516,70,-70,0,153,60,-60,0,45.2,1.7,-1.7,0,,,,,,,,,,,,,826.3,63.6,-63.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,3,0,13,12,http://exoplanet.eu/catalog/hd_108863_b/,http://exoplanets.org/detail/HD_108863_b,3/4/13,12.5055308,258.985622,82.93996,177.734092,23.054909,7.22,1.08,-1.08,0,0,-74.6,0.9,0,-33.5,0.9,0,81.8,1.3,0,0,,,,,,5,K0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,3,1,,,,,8.747,0.017,0,0,,,,,,,,,6.022,0.037,0,0,5.516,0.031,0,0,5.392,0.022,0,0,5.347,0.19,0,0,5.261,0.066,0,0,5.386,0.015,0,0,5.3,0.033,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,1.008,0.021,0,0,,,,,,,,,0.506,0.048,0,0,0.124,0.038,0,0,0.63,0.043,0,0,,,,,,,,,,,,,5
223,HD 108874,b,Radial Velocity,2,395.8,0.6,-0.6,0,1.038,0.014,-0.014,0,0.082,0.021,-0.021,0,,,,,1.29,0.06,-0.06,0,,,,,,,,,,,,,0,0,187.612015,22.879829,68.54,5.37,-6.37,0,,,,,,,,,,,,,,,,,,,,HD 108874,HIP 61028,HD 108874 b,0,1,0,0,0,0,2454069,17,-17,0,232,10,-10,0,37,0.8,-0.8,0,,,,,,,,,,,,,409.98,19.07,-19.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,3,0,47,23,http://exoplanet.eu/catalog/hd_108874_b/,http://exoplanets.org/detail/HD_108874_b,3/4/13,12.50746765,253.571088,83.624599,177.323887,23.907566,14.59,1.24,-1.24,0,0,128.4,0.9,0,-90.1,0.9,0,156.9,1.3,0,0,-30.7,0.2,-0.2,0,0,4.5,G5 V,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2.2,0.5,-0.5,0,0,0.15,0.019,0,0,-5.08,,0,0,,,,,,5,0,1,4,0,3,1,,,,,,,,,,,,,,,,,7.479,0.02,0,0,7.11,0.029,0,0,7.06,0.024,0,0,6.947,0.045,0,1,7.07,0.02,0,1,7.075,0.016,0,0,6.959,0.092,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,0.765,0.026,0,0,,,,,,,,,0.369,0.035,0,0,0.05,0.038,0,0,0.419,0.031,0,0,0.457,0.004,0,0,0.277,0.005,0,0,0.356,0.006,0,0,8
224,HD 108874,c,Radial Velocity,2,1624,23,-23,0,2.659,0.06,-0.06,0,0.239,0.031,-0.031,0,,,,,0.99,0.06,-0.06,0,,,,,,,,,,,,,0,0,187.612015,22.879829,68.54,5.37,-6.37,0,,,,,,,,,,,,,,,,,,,,HD 108874,HIP 61028,HD 108874 c,0,1,0,0,0,0,2452839,44,-44,0,27,10,-10,0,18.2,0.7,-0.7,0,,,,,,,,,,,,,314.64,19.07,-19.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,3,0,40,23,http://exoplanet.eu/catalog/hd_108874_c/,http://exoplanets.org/detail/HD_108874_c,3/4/13,12.50746765,253.571088,83.624599,177.323887,23.907566,14.59,1.24,-1.24,0,0,128.4,0.9,0,-90.1,0.9,0,156.9,1.3,0,0,-30.7,0.2,-0.2,0,0,4.5,G5 V,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2.2,0.5,-0.5,0,0,0.15,0.019,0,0,-5.08,,0,0,,,,,,5,0,1,4,0,3,1,,,,,,,,,,,,,,,,,7.479,0.02,0,0,7.11,0.029,0,0,7.06,0.024,0,0,6.947,0.045,0,1,7.07,0.02,0,1,7.075,0.016,0,0,6.959,0.092,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,0.765,0.026,0,0,,,,,,,,,0.369,0.035,0,0,0.05,0.038,0,0,0.419,0.031,0,0,0.457,0.004,0,0,0.277,0.005,0,0,0.356,0.006,0,0,8
225,HD 109246,b,Radial Velocity,1,68.27,0.13,-0.13,0,0.33,0.08,-0.08,0,0.12,0.04,-0.04,0,,,,,0.77,0.09,-0.09,0,,,,,,,,,,,,,0,0,188.029953,74.489548,65.62,3.16,-3.49,0,8.757,0.015,0,0,,,,,,,,,,,,,,,,HD 109246,HIP 61177,HD 109246 b,0,1,0,0,0,0,2454824.6,4.7,-4.7,0,235,29,-29,0,38.2,1.6,-1.6,0,,,,,,,,,,,,,244.72,28.6,-28.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,3,0,7,10,http://exoplanet.eu/catalog/hd_109246_b/,http://exoplanets.org/detail/HD_109246_b,3/4/13,12.5353302,124.683863,42.573013,127.186786,64.017513,15.24,0.77,-0.77,0,0,-172.4,1,0,-47.9,1,0,178.9,1.4,0,0,,,,,,4,G0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,3,0,,,,,9.42,0.021,0,0,,,,,,,,,7.57,0.027,0,0,7.296,0.02,0,0,7.216,0.022,0,0,7.119,0.044,0,0,7.226,0.02,0,0,7.242,0.015,0,0,7.188,0.071,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,0.663,0.026,0,0,,,,,,,,,0.274,0.034,0,0,0.08,0.03,0,0,0.354,0.035,0,0,,,,,,,,,,,,,5
226,HD 109271,b,Radial Velocity,2,7.8543,0.0009,-0.0009,0,0.079,0.001,-0.001,0,0.25,0.08,-0.08,0,,,,,0.054,0.004,-0.004,0,,,,,,,,,,,,,0,0,188.398148,-11.621868,56.92,2.89,-3.22,0,8.055,0.013,0,0,5783,62,-62,0,0,1.047,0.024,-0.024,0,0,,,,,,HD 109271,HIP 61300,HD 109271 b,0,1,0,0,0,0,2455719.1,3.6,-3.6,0,-64,20,-20,0,5.6,0.5,-0.5,0,,,,,,,,,,,,,17.162,1.271,-1.271,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013,3,0,12,14,http://exoplanet.eu/catalog/hd_109271_b/,,1/15/13,12.55987651,295.976749,51.008738,192.306197,-7.349626,17.57,0.94,-0.94,0,0,-169,1.4,0,80.7,1.2,0,187.3,1.8,0,0,-4.9,0,0,0,0,4.5,G5 V,,0,0,4.28,0.1,-0.1,0,0,0.301,0.061,-0.071,0,0,,,,,0.1,0.05,-0.05,0,0,7.3,1.2,-1.2,0,[Fe/H],2.7,,,0,0,,,,,,,,,,,,,,1,0,1,0,0,3,0,,,,,8.714,0.018,0,0,,,,,,,,,6.855,0.025,0,0,6.555,0.026,0,0,6.495,0.026,0,0,6.496,0.077,0,0,6.411,0.024,0,0,6.5,0.016,0,0,6.451,0.065,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,0.659,0.022,0,0,,,,,,,,,0.3,0.036,0,0,0.06,0.037,0,0,0.36,0.036,0,0,0.415,0.001,0,0,0.21,0.002,0,0,0.369,0.001,0,0,11
